neighborhood,pay type,# rides
Port Morris,CRD,9465
Port Morris,CSH,12492
Port Morris,DIS,42
Port Morris,NOC,135
Port Morris,UNK,19
Prospect Heights,CRD,75605
Prospect Heights,CSH,45711
Prospect Heights,DIS,103
Prospect Heights,NOC,310
Prospect Heights,UNK,201
Queens Village,CRD,2436
Queens Village,CSH,3748
Queens Village,DIS,19
Queens Village,NOC,77
Queens Village,UNK,3
Red Hook,CRD,23373
Red Hook,CSH,19071
Red Hook,DIS,43
Red Hook,NOC,116
Red Hook,UNK,60
Rego Park,CRD,15254
Rego Park,CSH,17060
Rego Park,DIS,43
Rego Park,NOC,141
Rego Park,UNK,31
Richmond,CRD,199
Richmond,CSH,133
Richmond,DIS,1
Richmond,NOC,2
Richmond Hill,CRD,6198
Richmond Hill,CSH,10587
Richmond Hill,DIS,67
Richmond Hill,NOC,132
Richmond Hill,UNK,13
Ridgewood,CRD,10356
Ridgewood,CSH,12486
Ridgewood,DIS,43
Ridgewood,NOC,93
Ridgewood,UNK,26
Riverdale,CRD,8554
Riverdale,CSH,5611
Riverdale,DIS,46
Riverdale,NOC,111
Riverdale,UNK,25
Rochdale Village,CRD,244014
Rochdale Village,CSH,157295
Rochdale Village,DIS,1390
Rochdale Village,NOC,5548
Rochdale Village,UNK,490
Rose Hill,CRD,1106416
Rose Hill,CSH,781563
Rose Hill,DIS,1054
Rose Hill,NOC,3259
Rose Hill,UNK,2281
Rosedale,CRD,4482
Rosedale,CSH,6878
Rosedale,DIS,39
Rosedale,NOC,75
Rosedale,UNK,4
Rossville,CRD,1943
Rossville,CSH,906
Rossville,DIS,13
Rossville,NOC,52
Rossville,UNK,3
Roy Reuther Houses,CRD,3259
Roy Reuther Houses,CSH,4507
Roy Reuther Houses,DIS,22
Roy Reuther Houses,NOC,56
Roy Reuther Houses,UNK,5
Saint Albans,CRD,756
Saint Albans,CSH,1943
Saint Albans,DIS,8
Saint Albans,NOC,12
Saint Albans,UNK,2
Saint George,CRD,1052
Saint George,CSH,734
Saint George,DIS,10
Saint George,NOC,19
Saint George,UNK,1
San Juan Hill,CRD,1192074
San Juan Hill,CSH,1282402
San Juan Hill,DIS,1529
San Juan Hill,NOC,5139
San Juan Hill,UNK,2813
Schuylerville,CRD,1136
Schuylerville,CSH,1811
Schuylerville,DIS,12
Schuylerville,NOC,20
Seagate,CRD,469
Seagate,CSH,523
Seagate,DIS,2
Seagate,NOC,5
Sheepshead Bay,CRD,4654
Sheepshead Bay,CSH,5393
Sheepshead Bay,DIS,35
Sheepshead Bay,NOC,53
Sheepshead Bay,UNK,3
SoHo,CRD,566946
SoHo,CSH,447242
SoHo,DIS,685
SoHo,NOC,2050
SoHo,UNK,1089
South Slope,CRD,49621
South Slope,CSH,34056
South Slope,DIS,83
South Slope,NOC,236
South Slope,UNK,114
South Street Seaport,CRD,107883
South Street Seaport,CSH,76742
South Street Seaport,DIS,155
South Street Seaport,NOC,475
South Street Seaport,UNK,226
Southbridge Towers,CRD,444701
Southbridge Towers,CSH,242436
Southbridge Towers,DIS,388
Southbridge Towers,NOC,1240
Southbridge Towers,UNK,913
Spencer Estates,CRD,751
Spencer Estates,CSH,1009
Spencer Estates,DIS,4
Spencer Estates,NOC,8
Springfield Gardens,CRD,605
Springfield Gardens,CSH,1672
Springfield Gardens,DIS,6
Springfield Gardens,NOC,10
Springfield Gardens,UNK,1
Spuyten Duyvil,CRD,14919
Spuyten Duyvil,CSH,9552
Spuyten Duyvil,DIS,31
Spuyten Duyvil,NOC,66
Spuyten Duyvil,UNK,28
Stapleton,CRD,230
Stapleton,CSH,249
Stapleton,DIS,1
Stapleton,NOC,3
Steinway,CRD,129480
Steinway,CSH,138730
Steinway,DIS,346
Steinway,NOC,1213
Steinway,UNK,295
Stuyvesant Town,CRD,433784
Stuyvesant Town,CSH,274660
Stuyvesant Town,DIS,406
Stuyvesant Town,NOC,1258
Stuyvesant Town,UNK,851
Sunnyside,CRD,48508
Sunnyside,CSH,69256
Sunnyside,DIS,314
Sunnyside,NOC,1676
Sunnyside,UNK,168
Sunnyside Gardens,CRD,86475
Sunnyside Gardens,CSH,104534
Sunnyside Gardens,DIS,207
Sunnyside Gardens,NOC,753
Sunnyside Gardens,UNK,194
Terrace Heights,CRD,1963
Terrace Heights,CSH,2353
Terrace Heights,DIS,14
Terrace Heights,NOC,23
Terrace Heights,UNK,4
The Tides,CRD,380
The Tides,CSH,532
The Tides,DIS,1
The Tides,NOC,7
Throgs Neck,CRD,1014
Throgs Neck,CSH,1255
Throgs Neck,DIS,8
Throgs Neck,NOC,11
Throgs Neck,UNK,3
Tremont,CRD,4043
Tremont,CSH,7092
Tremont,DIS,30
Tremont,NOC,67
Tremont,UNK,4
Tribeca,CRD,915704
Tribeca,CSH,515902
Tribeca,DIS,786
Tribeca,NOC,2555
Tribeca,UNK,2174
Tudor City,CRD,1807799
Tudor City,CSH,1636536
Tudor City,DIS,2110
Tudor City,NOC,6506
Tudor City,UNK,4214
Unionport,CRD,4569
Unionport,CSH,7326
Unionport,DIS,49
Unionport,NOC,77
Unionport,UNK,4
University Heights,CRD,25347
University Heights,CSH,24654
University Heights,DIS,75
University Heights,NOC,176
University Heights,UNK,50
University Village,CRD,385875
